"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","PAD District"
"Time:","01/1981 - 08/2022"
"Unit of Measure:","Barrels","Barrels","Barrels","Barrels","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production | PAD District 1 - East Coast, PAD District 2 - Midwest, PAD District 3 - Gulf Coast, PAD District 4 - Rocky Mountains, PAD District 5 - West Coast, 01/1981 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP18466CF9BE085"
"ColumnCount:",6
"RowCount:",500

"Time","PAD District 1 - East Coast (Barrels)","PAD District 2 - Midwest (Barrels)","PAD District 3 - Gulf Coast (Barrels)","PAD District 4 - Rocky Mountains (Barrels)","PAD District 5 - West Coast (Barrels)"
"01/1981",4243000,28698000,132577000,18161000,11089000
"02/1981",3751000,27285000,119414000,16783000,10016000
"03/1981",3872000,30245000,132899000,18358000,11089000
"04/1981",3681000,28789000,127524000,17870000,10731000
"05/1981",3735000,30033000,129558000,18363000,11089000
"06/1981",3510000,29710000,126566000,17906000,10731000
"07/1981",3515000,28674000,129775000,18363000,11089000
"08/1981",3306000,30946000,130475000,18364000,11089000
"09/1981",3276000,30472000,125898000,17868000,10731000
"10/1981",3522000,30406000,129735000,18740000,11089000
"11/1981",3205000,29798000,125257000,18093000,10731000
"12/1981",3213000,30597000,129573000,18670000,11089000
"01/1982",3066000,29383000,127644000,17142000,10047000
"02/1982",2807000,29602000,116957000,15623000,9075000
"03/1982",3096000,31623000,130347000,17360000,10047000
"04/1982",2849000,28328000,126047000,16832000,9724000
"05/1982",2884000,31887000,130230000,17251000,10047000
"06/1982",2795000,31563000,125199000,16792000,9724000
"07/1982",2888000,31593000,129356000,17251000,10047000
"08/1982",2797000,31647000,128944000,17235000,10047000
"09/1982",2721000,31966000,125526000,16124000,9724000
"10/1982",2779000,32063000,130232000,17120000,10047000
"11/1982",2582000,31388000,126841000,16533000,9724000
"12/1982",2754000,31393000,129302000,16943000,10047000
"01/1983",2627000,32814000,129086000,17362000,9966000
"02/1983",2420000,29818000,117774000,16258000,9522000
"03/1983",2734000,32343000,129860000,17352000,10098000
"04/1983",2496000,32352000,126507000,16934000,9611000
"05/1983",2434000,31863000,129595000,17349000,10106000
"06/1983",2290000,31605000,125002000,16926000,9882000
"07/1983",2283000,31261000,128699000,17721000,10179000
"08/1983",2359000,32771000,129402000,17382000,9984000
"09/1983",2319000,31321000,126914000,17198000,9941000
"10/1983",2248000,31986000,131306000,17923000,10112000
"11/1983",2095000,32139000,126879000,16960000,9295000
"12/1983",1977000,28606000,125440000,16747000,9607000
"01/1984",2037000,32192000,133809000,17965000,10118000
"02/1984",1953000,32089000,124060000,16146000,9643000
"03/1984",2020000,32280000,133825000,17360000,10402000
"04/1984",1955000,32825000,127555000,16750000,10101000
"05/1984",1953000,33535000,133605000,18716000,10628000
"06/1984",1847000,32745000,128904000,19070000,10324000
"07/1984",1882000,33525000,132837000,19629000,11542000
"08/1984",1849000,31689000,132399000,18268000,10202000
"09/1984",1948000,33525000,128890000,18410000,10498000
"10/1984",1943000,33727000,132161000,18733000,10486000
"11/1984",1867000,32837000,128458000,18170000,10093000
"12/1984",1888000,32790000,134185000,18347000,10232000
"01/1985",1837000,31766000,131543000,19350000,10928000
